,,Q1,,,,,,,,,Q2,,Q3,,,,,,,,,Q4,,,,,,,,,
61,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,HTP,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
63,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,NON,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
64,HTP,NA,P,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
65,HTP,NA,P,ST,IMP,NA,NA,PM,NA,AMC,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA
66,HTP,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
67,CMCO,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
68,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,CMCO,NA,P,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
70,CMCO,NA,P,NA,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,P,ST,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
71,CMCO,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
72,HTP,NA,P,ST,IMP,NA,NA,PM,NA,NA,OUI,OUI,NA,NA,ST,IMP,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
74,HTP,NA,P,ST,IMP,NA,AV,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
75,HTP,NA,P,ST,IMP,PT,AV,NA,NA,NA,OUI,OUI,NA,NA,NA,NA,NA,AV,NA,NA,NA,OUI,AUCUNE,NA,NA,NA,NA,NA,NA,NA,NA
76,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
77,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA
78,HTP,NA,NA,ST,IMP,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,NON,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,CMCO,NA,P,NA,NA,NA,NA,NA,NA,NA,OUI,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA,OUI,NA,NA,ST,NA,NA,NA,NA,NA,NA
80,CMCO,NA,P,ST,IMP,NA,NA,NA,PL,NA,OUI,OUI,NA,NA,NA,IMP,NA,NA,NA,NA,NA,OUI,NA,P,NA,NA,NA,NA,NA,NA,NA
